Crop_Type,Sowing_Date,Avg_Temp,Tmax,Tmin,Actual_Yield,Germination_Days_From_Sowing,Germination_GDD_Required,Germination_Predicted_Date,Leaf_Development_Days_From_Sowing,Leaf_Development_GDD_Required,Leaf_Development_Predicted_Date,Tillering_Elongation_Days_From_Sowing,Tillering_Elongation_GDD_Required,Tillering_Elongation_Predicted_Date,Reproductive_Days_From_Sowing,Reproductive_GDD_Required,Reproductive_Predicted_Date,Grain_Filling_Days_From_Sowing,Grain_Filling_GDD_Required,Grain_Filling_Predicted_Date,Maturity_Days_From_Sowing,Maturity_GDD_Required,Maturity_Predicted_Date,Total_Season_Length_Predicted,Total_GDD_Required,Current_Growth_Stage,Days_To_Maturity,Harvest_Window_Start,Harvest_Window_End,Sowing_Date_dt
Rice,2023-06-06,27.6,36.2,22.6,4.9,5,100.5,2023-06-11,23,412.8,2023-06-29,53,930.0,2023-07-29,91,1759.2,2023-09-05,109,2154.6,2023-09-23,121,2550.2,2023-10-05,143,2765.0,Tillering_Elongation,121,2023-10-10,2023-10-20,2023-06-06
Maize,2023-07-08,29.7,37.4,23.3,6.8,10,101.9,2023-07-18,22,453.7,2023-07-30,39,904.4,2023-08-16,71,1454.3,2023-09-17,78,1849.2,2023-09-24,131,2621.0,2023-11-16,121,2325.0,Reproductive,131,2023-11-21,2023-12-01,2023-07-08
Rice,2023-06-28,30.2,40.7,25.2,5.3,5,113.4,2023-07-03,20,418.8,2023-07-18,40,834.7,2023-08-07,95,1688.5,2023-10-01,107,1873.1,2023-10-13,135,2512.0,2023-11-10,145,2785.0,Grain_Filling,135,2023-11-15,2023-11-25,2023-06-28
Cotton,2023-06-03,28.5,36.0,23.1,1.7,8,93.7,2023-06-11,25,409.2,2023-06-28,79,1093.4,2023-08-21,111,2351.8,2023-09-22,165,2808.6,2023-11-15,218,3844.1,2024-01-07,216,3584.0,Grain_Filling,218,2024-01-12,2024-01-22,2023-06-03
Wheat,2023-10-16,17.0,25.2,10.5,4.0,9,81.6,2023-10-25,27,316.3,2023-11-12,36,788.8,2023-11-21,95,1305.3,2024-01-19,104,1590.9,2024-01-28,127,1972.6,2024-02-20,135,1950.0,Grain_Filling,127,2024-02-25,2024-03-06,2023-10-16
Maize,2023-06-06,31.3,39.6,23.4,4.3,8,113.7,2023-06-14,19,410.1,2023-06-25,36,807.8,2023-07-12,76,1536.6,2023-08-21,100,1862.3,2023-09-14,133,2540.8,2023-10-17,109,2303.0,Leaf_Development,133,2023-10-22,2023-11-01,2023-06-06
Cotton,2023-06-14,34.6,45.4,29.4,2.5,7,102.7,2023-06-21,40,598.1,2023-07-24,66,1038.3,2023-08-19,123,2388.2,2023-10-15,171,3233.6,2023-12-02,228,4100.9,2024-01-28,189,3796.0,Tillering_Elongation,228,2024-02-02,2024-02-12,2023-06-14
Rice,2023-06-15,33.6,42.6,26.3,4.4,8,84.0,2023-06-23,28,351.1,2023-07-13,48,969.4,2023-08-02,93,1663.9,2023-09-16,114,2070.7,2023-10-07,135,2629.4,2023-10-28,141,2519.0,Germination,135,2023-11-02,2023-11-12,2023-06-15
Maize,2023-07-03,30.5,42.3,23.7,8.4,9,104.2,2023-07-12,26,422.3,2023-07-29,44,964.4,2023-08-16,64,1429.3,2023-09-05,82,1693.3,2023-09-23,100,2387.1,2023-10-11,116,2251.0,Germination,100,2023-10-16,2023-10-26,2023-07-03
Maize,2023-07-09,28.5,38.7,22.5,8.1,10,145.3,2023-07-19,19,449.3,2023-07-28,44,893.7,2023-08-22,67,1548.2,2023-09-14,83,1647.0,2023-09-30,102,2572.1,2023-10-19,138,2412.0,Reproductive,102,2023-10-24,2023-11-03,2023-07-09
Wheat,2023-10-16,19.1,25.5,12.8,5.5,5,66.6,2023-10-21,20,369.6,2023-11-05,40,725.5,2023-11-25,86,1376.8,2024-01-10,96,1413.6,2024-01-20,125,2087.6,2024-02-18,129,1823.0,Reproductive,125,2024-02-23,2024-03-04,2023-10-16
Wheat,2023-11-19,16.5,26.4,11.0,3.1,5,63.1,2023-11-24,30,326.0,2023-12-19,35,739.6,2023-12-24,84,1356.0,2024-02-11,100,1644.1,2024-02-27,123,1848.8,2024-03-21,137,1975.0,Tillering_Elongation,123,2024-03-26,2024-04-05,2023-11-19
Cotton,2023-06-13,35.1,46.3,31.0,1.8,6,111.1,2023-06-19,25,597.5,2023-07-08,75,1113.0,2023-08-27,121,2190.4,2023-10-12,152,3214.6,2023-11-12,220,3544.5,2024-01-19,234,3788.0,Maturity,220,2024-01-24,2024-02-03,2023-06-13
Cotton,2023-07-16,33.0,43.5,25.3,0.9,6,117.8,2023-07-22,29,475.6,2023-08-14,63,1135.2,2023-09-17,112,2125.7,2023-11-05,140,3103.1,2023-12-03,211,3970.2,2024-02-12,202,4038.0,Leaf_Development,211,2024-02-17,2024-02-27,2023-07-16
Maize,2023-07-12,27.3,38.2,19.5,6.8,9,120.2,2023-07-21,19,462.0,2023-07-31,41,961.0,2023-08-22,61,1427.3,2023-09-11,76,1740.2,2023-09-26,114,2518.3,2023-11-03,129,2638.0,Reproductive,114,2023-11-08,2023-11-18,2023-07-12
Maize,2023-07-15,30.0,41.5,24.8,3.1,5,107.4,2023-07-20,21,449.2,2023-08-05,36,891.8,2023-08-20,61,1524.2,2023-09-14,85,1731.5,2023-10-08,110,2489.8,2023-11-02,116,2675.0,Tillering_Elongation,110,2023-11-07,2023-11-17,2023-07-15
Rice,2023-07-05,29.8,41.2,23.9,6.5,7,104.1,2023-07-12,24,354.1,2023-07-29,49,869.0,2023-08-23,100,1635.4,2023-10-13,99,2019.5,2023-10-12,145,2584.3,2023-11-27,148,2789.0,Leaf_Development,145,2023-12-02,2023-12-12,2023-07-05
Cotton,2023-06-27,27.8,38.6,21.3,1.8,12,86.3,2023-07-09,34,412.2,2023-07-31,57,1260.5,2023-08-23,128,2374.1,2023-11-02,161,3293.1,2023-12-05,207,3665.3,2024-01-20,226,3858.0,Grain_Filling,207,2024-01-25,2024-02-04,2023-06-27
Rice,2023-06-15,28.7,39.8,21.7,7.5,11,101.3,2023-06-26,26,360.5,2023-07-11,49,875.5,2023-08-03,96,1712.8,2023-09-19,120,1884.6,2023-10-13,144,2614.1,2023-11-06,137,2579.0,Reproductive,144,2023-11-11,2023-11-21,2023-06-15
Wheat,2023-11-12,16.4,25.3,10.0,2.9,5,89.8,2023-11-17,29,356.4,2023-12-11,40,656.8,2023-12-22,95,1479.9,2024-02-15,97,1571.2,2024-02-17,134,1899.1,2024-03-25,131,1976.0,Maturity,134,2024-03-30,2024-04-09,2023-11-12
Wheat,2023-11-21,19.1,25.1,11.2,5.1,5,86.7,2023-11-26,30,371.8,2023-12-21,37,714.3,2023-12-28,84,1467.7,2024-02-13,88,1456.1,2024-02-17,110,1927.6,2024-03-10,139,1851.0,Germination,110,2024-03-15,2024-03-25,2023-11-21
Cotton,2023-06-18,31.9,41.4,27.3,0.7,10,103.8,2023-06-28,34,467.3,2023-07-22,59,1164.6,2023-08-16,112,2495.0,2023-10-08,159,3142.3,2023-11-24,216,3678.2,2024-01-20,215,3724.0,Maturity,216,2024-01-25,2024-02-04,2023-06-18
Wheat,2023-12-05,17.4,24.5,13.1,4.8,9,61.9,2023-12-14,28,314.0,2024-01-02,46,750.1,2024-01-20,84,1332.7,2024-02-27,103,1455.9,2024-03-17,135,1999.6,2024-04-18,117,2016.0,Leaf_Development,135,2024-04-23,2024-05-03,2023-12-05
Wheat,2023-12-09,18.6,27.3,13.1,3.9,5,81.6,2023-12-14,20,323.2,2023-12-29,36,678.3,2024-01-14,87,1408.7,2024-03-05,91,1468.7,2024-03-09,115,1835.1,2024-04-02,128,1987.0,Leaf_Development,115,2024-04-07,2024-04-17,2023-12-09
Rice,2023-06-01,33.0,44.4,25.9,4.9,7,108.3,2023-06-08,33,424.4,2023-07-04,41,840.9,2023-07-12,89,1752.5,2023-08-29,100,1936.8,2023-09-09,155,2614.6,2023-11-03,157,2701.0,Grain_Filling,155,2023-11-08,2023-11-18,2023-06-01
Maize,2023-07-19,33.0,41.4,25.9,8.6,8,134.7,2023-07-27,28,471.6,2023-08-16,45,869.1,2023-09-02,67,1591.8,2023-09-24,82,1833.4,2023-10-09,125,2411.8,2023-11-21,126,2521.0,Grain_Filling,125,2023-11-26,2023-12-06,2023-07-19
Rice,2023-07-22,29.3,38.9,24.9,2.8,11,80.9,2023-08-02,31,365.3,2023-08-22,48,874.9,2023-09-08,93,1684.8,2023-10-23,116,2173.7,2023-11-15,120,2764.3,2023-11-19,123,2716.0,Maturity,120,2023-11-24,2023-12-04,2023-07-22
Rice,2023-06-11,30.2,38.1,24.9,4.4,9,95.2,2023-06-20,23,383.5,2023-07-04,48,957.6,2023-07-29,99,1622.9,2023-09-18,105,2015.0,2023-09-24,126,2769.2,2023-10-15,159,2643.0,Germination,126,2023-10-20,2023-10-30,2023-06-11
Maize,2023-07-15,25.5,34.9,20.8,6.7,7,139.0,2023-07-22,19,463.2,2023-08-03,41,932.7,2023-08-25,68,1595.1,2023-09-21,96,1659.5,2023-10-19,139,2630.3,2023-12-01,123,2356.0,Grain_Filling,139,2023-12-06,2023-12-16,2023-07-15
Wheat,2023-11-11,17.9,28.7,12.5,4.6,10,61.5,2023-11-21,22,383.7,2023-12-03,48,613.1,2023-12-29,81,1442.8,2024-01-31,101,1557.3,2024-02-20,115,1920.2,2024-03-05,139,1857.0,Grain_Filling,115,2024-03-10,2024-03-20,2023-11-11
Rice,2023-06-22,32.5,41.7,25.3,2.4,12,114.7,2023-07-04,26,352.7,2023-07-18,47,850.8,2023-08-08,94,1620.8,2023-09-24,113,2027.8,2023-10-13,127,2661.1,2023-10-27,147,2736.0,Maturity,127,2023-11-01,2023-11-11,2023-06-22
Cotton,2023-06-18,34.4,46.2,26.7,3.5,12,91.7,2023-06-30,34,417.4,2023-07-22,72,1025.7,2023-08-29,115,2424.1,2023-10-11,175,2890.7,2023-12-10,197,3950.0,2024-01-01,233,3643.0,Reproductive,197,2024-01-06,2024-01-16,2023-06-18
Wheat,2023-10-24,17.8,28.8,12.4,3.5,7,94.4,2023-10-31,25,394.8,2023-11-18,35,756.0,2023-11-28,87,1473.7,2024-01-19,101,1695.6,2024-02-02,126,1945.4,2024-02-27,139,1909.0,Grain_Filling,126,2024-03-03,2024-03-13,2023-10-24
Wheat,2023-10-28,16.5,26.3,10.8,4.4,9,66.9,2023-11-06,21,301.8,2023-11-18,44,705.9,2023-12-11,85,1415.3,2024-01-21,89,1420.2,2024-01-25,135,1995.4,2024-03-11,135,1958.0,Maturity,135,2024-03-16,2024-03-26,2023-10-28
Rice,2023-07-19,32.9,42.5,26.3,2.4,9,113.5,2023-07-28,29,388.3,2023-08-17,41,884.4,2023-08-29,90,1633.3,2023-10-17,115,1873.7,2023-11-11,145,2641.3,2023-12-11,126,2629.0,Tillering_Elongation,145,2023-12-16,2023-12-26,2023-07-19
Wheat,2023-11-05,20.1,27.9,13.9,2.8,10,98.2,2023-11-15,20,373.3,2023-11-25,49,654.0,2023-12-24,82,1352.5,2024-01-26,101,1652.5,2024-02-14,122,1948.9,2024-03-06,111,1919.0,Leaf_Development,122,2024-03-11,2024-03-21,2023-11-05
Rice,2023-06-07,27.4,37.5,21.6,6.2,8,83.1,2023-06-15,33,419.5,2023-07-10,51,801.1,2023-07-28,91,1672.2,2023-09-06,111,2123.0,2023-09-26,129,2454.7,2023-10-14,158,2430.0,Reproductive,129,2023-10-19,2023-10-29,2023-06-07
Maize,2023-06-06,34.2,44.6,26.9,6.0,5,131.9,2023-06-11,28,490.3,2023-07-04,47,997.5,2023-07-23,69,1534.0,2023-08-14,91,1835.3,2023-09-05,120,2290.3,2023-10-04,122,2562.0,Grain_Filling,120,2023-10-09,2023-10-19,2023-06-06
Cotton,2023-06-25,30.6,41.4,23.6,2.4,6,92.8,2023-07-01,38,528.9,2023-08-02,52,1178.9,2023-08-16,112,2280.3,2023-10-15,176,2838.5,2023-12-18,205,3871.2,2024-01-16,231,4091.0,Germination,205,2024-01-21,2024-01-31,2023-06-25
Maize,2023-06-07,27.5,37.9,21.4,9.4,10,143.5,2023-06-17,19,400.0,2023-06-26,37,987.8,2023-07-14,73,1414.0,2023-08-19,91,1740.3,2023-09-06,115,2401.0,2023-09-30,101,2212.0,Leaf_Development,115,2023-10-05,2023-10-15,2023-06-07
Rice,2023-06-23,32.5,38.5,26.6,5.9,9,108.6,2023-07-02,20,354.2,2023-07-13,54,982.1,2023-08-16,96,1685.6,2023-09-27,98,1956.7,2023-09-29,156,2487.3,2023-11-26,149,2741.0,Maturity,156,2023-12-01,2023-12-11,2023-06-23
Sugarcane,2023-07-25,33.2,42.8,25.6,52.9,22,156.5,2023-08-16,90,1177.1,2023-10-23,170,2230.6,2024-01-11,256,4012.7,2024-04-06,252,4220.5,2024-04-02,304,5739.3,2024-05-24,324,5615.0,Germination,304,2024-05-29,2024-06-08,2023-07-25
Maize,2023-06-23,25.7,34.7,19.7,10.5,10,140.8,2023-07-03,26,462.3,2023-07-19,48,918.6,2023-08-10,70,1572.0,2023-09-01,77,1951.0,2023-09-08,128,2336.5,2023-10-29,116,2277.0,Reproductive,128,2023-11-03,2023-11-13,2023-06-23
Rice,2023-07-09,29.3,40.9,22.4,7.3,12,94.9,2023-07-21,35,419.6,2023-08-13,45,899.2,2023-08-23,95,1792.4,2023-10-12,99,2073.3,2023-10-16,159,2796.6,2023-12-15,153,2563.0,Tillering_Elongation,159,2023-12-20,2023-12-30,2023-07-09
Soybean,2023-06-17,26.6,34.2,19.1,4.1,6,79.8,2023-06-23,23,430.1,2023-07-10,42,666.8,2023-07-29,59,1209.2,2023-08-15,75,1442.3,2023-08-31,94,1894.6,2023-09-19,108,2234.0,Tillering_Elongation,94,2023-09-24,2023-10-04,2023-06-17
Soybean,2023-07-22,27.1,38.0,22.2,1.2,8,102.7,2023-07-30,21,376.1,2023-08-12,42,638.6,2023-09-02,66,1185.1,2023-09-26,77,1623.9,2023-10-07,117,1929.9,2023-11-16,96,1880.0,Maturity,117,2023-11-21,2023-12-01,2023-07-22
Wheat,2023-10-17,18.4,26.8,13.7,5.7,8,97.5,2023-10-25,30,306.8,2023-11-16,46,633.3,2023-12-02,89,1313.5,2024-01-14,102,1542.1,2024-01-27,124,2061.5,2024-02-18,114,1831.0,Tillering_Elongation,124,2024-02-23,2024-03-04,2023-10-17
Maize,2023-07-17,27.4,33.8,20.1,4.0,6,112.6,2023-07-23,19,415.9,2023-08-05,35,999.4,2023-08-21,68,1420.4,2023-09-23,97,1665.4,2023-10-22,110,2613.0,2023-11-04,114,2609.0,Maturity,110,2023-11-09,2023-11-19,2023-07-17
Wheat,2023-11-13,12.7,20.6,5.8,5.2,5,61.2,2023-11-18,21,371.5,2023-12-04,50,772.9,2024-01-02,91,1408.6,2024-02-12,101,1455.7,2024-02-22,117,1827.3,2024-03-09,111,1864.0,Reproductive,117,2024-03-14,2024-03-24,2023-11-13
Rice,2023-07-05,30.6,38.4,23.0,5.8,10,98.5,2023-07-15,20,361.7,2023-07-25,59,921.5,2023-09-02,85,1686.1,2023-09-28,116,1890.2,2023-10-29,121,2632.8,2023-11-03,122,2474.0,Grain_Filling,121,2023-11-08,2023-11-18,2023-07-05
Rice,2023-06-08,27.9,39.8,21.0,6.3,10,114.4,2023-06-18,30,440.8,2023-07-08,48,896.1,2023-07-26,93,1648.4,2023-09-09,110,1857.0,2023-09-26,147,2592.9,2023-11-02,130,2678.0,Leaf_Development,147,2023-11-07,2023-11-17,2023-06-08
Wheat,2023-12-13,20.8,27.3,15.4,3.8,6,74.3,2023-12-19,29,397.7,2024-01-11,36,737.9,2024-01-18,89,1464.3,2024-03-11,101,1450.2,2024-03-23,138,2085.5,2024-04-29,110,2047.0,Maturity,138,2024-05-04,2024-05-14,2023-12-13
Cotton,2023-06-25,34.5,46.2,28.0,0.9,11,112.6,2023-07-06,40,532.2,2023-08-04,75,1164.3,2023-09-08,130,2391.9,2023-11-02,180,3121.8,2023-12-22,193,3614.8,2024-01-04,199,3738.0,Reproductive,193,2024-01-09,2024-01-19,2023-06-25
Rice,2023-06-06,31.9,39.2,24.0,3.4,9,114.9,2023-06-15,22,415.9,2023-06-28,45,832.3,2023-07-21,84,1743.8,2023-08-29,103,2198.5,2023-09-17,147,2597.3,2023-10-31,155,2698.0,Grain_Filling,147,2023-11-05,2023-11-15,2023-06-06
Wheat,2023-11-19,15.9,27.7,10.3,5.0,8,73.8,2023-11-27,27,376.8,2023-12-16,37,708.7,2023-12-26,83,1415.7,2024-02-10,86,1408.8,2024-02-13,111,1946.0,2024-03-09,133,1928.0,Leaf_Development,111,2024-03-14,2024-03-24,2023-11-19
Sugarcane,2023-06-19,29.9,38.0,24.3,74.7,17,223.3,2023-07-06,63,1110.4,2023-08-21,142,2909.0,2023-11-08,213,4132.5,2024-01-18,286,4971.4,2024-03-31,340,5781.6,2024-05-24,317,5447.0,Maturity,340,2024-05-29,2024-06-08,2023-06-19
Maize,2023-07-24,25.4,33.7,17.5,5.8,5,100.5,2023-07-29,25,477.3,2023-08-18,41,879.3,2023-09-03,70,1490.8,2023-10-02,96,1953.5,2023-10-28,109,2284.9,2023-11-10,101,2629.0,Germination,109,2023-11-15,2023-11-25,2023-07-24
Maize,2023-07-11,27.7,37.4,20.9,4.2,9,130.3,2023-07-20,18,453.4,2023-07-29,46,968.8,2023-08-26,74,1489.3,2023-09-23,86,1947.3,2023-10-05,119,2470.0,2023-11-07,119,2390.0,Grain_Filling,119,2023-11-12,2023-11-22,2023-07-11
Sugarcane,2023-07-10,27.4,39.0,22.2,78.4,19,164.8,2023-07-29,86,992.0,2023-10-04,153,2004.9,2023-12-10,228,3823.1,2024-02-23,305,4867.9,2024-05-10,349,5273.4,2024-06-23,350,4562.0,Maturity,349,2024-06-28,2024-07-08,2023-07-10
Wheat,2023-12-10,16.0,23.3,9.4,3.7,9,89.2,2023-12-19,24,344.4,2024-01-03,49,792.7,2024-01-28,86,1438.5,2024-03-05,95,1693.6,2024-03-14,127,2005.0,2024-04-15,127,1857.0,Germination,127,2024-04-20,2024-04-30,2023-12-10
Rice,2023-07-26,34.8,42.1,28.2,2.5,6,93.9,2023-08-01,25,449.9,2023-08-20,40,863.6,2023-09-04,95,1681.4,2023-10-29,115,2101.0,2023-11-18,160,2626.8,2024-01-02,124,2631.0,Maturity,160,2024-01-07,2024-01-17,2023-07-26
Wheat,2023-11-07,20.4,31.2,13.3,4.1,5,94.8,2023-11-12,25,312.0,2023-12-02,39,729.8,2023-12-16,91,1364.9,2024-02-06,99,1582.9,2024-02-14,137,2008.6,2024-03-23,118,1895.0,Germination,137,2024-03-28,2024-04-07,2023-11-07
Maize,2023-07-07,23.4,33.2,16.3,5.3,6,143.2,2023-07-13,22,447.9,2023-07-29,43,962.8,2023-08-19,61,1476.0,2023-09-06,89,1810.6,2023-10-04,114,2466.8,2023-10-29,108,2390.0,Maturity,114,2023-11-03,2023-11-13,2023-07-07
Cotton,2023-06-13,36.6,42.7,31.8,2.3,11,82.9,2023-06-24,35,448.7,2023-07-18,53,1114.0,2023-08-05,121,2467.2,2023-10-12,153,2897.3,2023-11-13,227,3840.1,2024-01-26,234,4128.0,Grain_Filling,227,2024-01-31,2024-02-10,2023-06-13
Soybean,2023-07-16,28.0,38.3,22.9,3.0,7,90.9,2023-07-23,21,327.2,2023-08-06,30,659.1,2023-08-15,59,1170.2,2023-09-13,89,1767.1,2023-10-13,96,2041.8,2023-10-20,93,2212.0,Grain_Filling,96,2023-10-25,2023-11-04,2023-07-16
Cotton,2023-06-05,32.8,42.4,25.6,3.1,11,111.7,2023-06-16,34,522.2,2023-07-09,59,1108.2,2023-08-03,115,2450.0,2023-09-28,166,3078.3,2023-11-18,229,4046.4,2024-01-20,201,3915.0,Leaf_Development,229,2024-01-25,2024-02-04,2023-06-05
Soybean,2023-06-03,26.9,33.8,22.0,3.0,4,78.7,2023-06-07,19,326.8,2023-06-22,41,728.4,2023-07-14,60,1061.9,2023-08-02,83,1492.8,2023-08-25,114,2116.0,2023-09-25,101,2231.0,Tillering_Elongation,114,2023-09-30,2023-10-10,2023-06-03
Maize,2023-07-13,27.2,35.9,21.5,4.1,8,149.6,2023-07-21,21,481.9,2023-08-03,44,944.9,2023-08-26,72,1581.1,2023-09-23,82,1631.8,2023-10-03,135,2522.6,2023-11-25,140,2546.0,Tillering_Elongation,135,2023-11-30,2023-12-10,2023-07-13
Wheat,2023-10-29,20.3,30.3,16.0,3.6,7,83.7,2023-11-05,29,353.3,2023-11-27,40,666.6,2023-12-08,91,1310.5,2024-01-28,101,1598.6,2024-02-07,132,2098.6,2024-03-09,130,1881.0,Reproductive,132,2024-03-14,2024-03-24,2023-10-29
Rice,2023-07-20,32.3,42.1,25.3,2.3,11,96.9,2023-07-31,20,425.6,2023-08-09,47,860.2,2023-09-05,95,1759.1,2023-10-23,117,1953.0,2023-11-14,159,2559.7,2023-12-26,135,2564.0,Reproductive,159,2023-12-31,2024-01-10,2023-07-20
Wheat,2023-11-02,17.5,28.3,10.1,3.8,6,91.3,2023-11-08,23,306.3,2023-11-25,36,660.6,2023-12-08,88,1368.3,2024-01-29,93,1426.3,2024-02-03,112,1952.9,2024-02-22,130,2048.0,Reproductive,112,2024-02-27,2024-03-08,2023-11-02
Soybean,2023-06-06,23.4,34.2,17.2,1.4,4,78.3,2023-06-10,16,317.5,2023-06-22,43,725.6,2023-07-19,63,1263.4,2023-08-08,85,1722.4,2023-08-30,103,1906.0,2023-09-17,117,2226.0,Leaf_Development,103,2023-09-22,2023-10-02,2023-06-06
Rice,2023-07-25,28.5,40.1,22.2,1.9,10,99.5,2023-08-04,33,439.8,2023-08-27,42,835.0,2023-09-05,85,1790.6,2023-10-18,115,1858.5,2023-11-17,140,2448.7,2023-12-12,152,2769.0,Reproductive,140,2023-12-17,2023-12-27,2023-07-25
Rice,2023-06-15,32.8,39.5,26.4,3.3,8,97.6,2023-06-23,35,435.1,2023-07-20,41,843.2,2023-07-26,98,1730.0,2023-09-21,99,1954.6,2023-09-22,129,2712.3,2023-10-22,150,2602.0,Leaf_Development,129,2023-10-27,2023-11-06,2023-06-15
Rice,2023-07-26,29.9,40.1,25.7,3.7,9,89.2,2023-08-04,23,411.5,2023-08-18,43,834.8,2023-09-07,86,1705.4,2023-10-20,99,2089.7,2023-11-02,154,2754.6,2023-12-27,123,2653.0,Maturity,154,2024-01-01,2024-01-11,2023-07-26
Rice,2023-06-07,28.7,40.5,23.7,2.1,9,111.6,2023-06-16,29,426.0,2023-07-06,44,837.9,2023-07-21,100,1643.0,2023-09-15,107,2133.7,2023-09-22,137,2790.3,2023-10-22,146,2567.0,Germination,137,2023-10-27,2023-11-06,2023-06-07
