Crop_Type,Soil_Type,Field_Size,Sowing_Date,Sowing_Day_of_Year,Sowing_Month,District,Latitude,Longitude,Avg_Temp,Tmax,Tmin,Rainfall,Cumulative_Rainfall,Relative_Humidity,WindSpeed,Solar_Radiation,Growing_Degree_Days,Season,Avg_Yield_Last_3Years,Max_Yield_Last_3Years,Min_Yield_Last_3Years,Season_Length,Irrigation_Frequency,Soil_Organic_Matter,Soil_pH,NDVI,Evapotranspiration_ET0,Actual_Yield,Soil_Sand_Percent,Soil_Clay_Percent,Soil_Silt_Percent,Elevation,Fertilizer_NPK,Crop_Cotton,Crop_Maize,Crop_Rice,Crop_Soybean,Crop_Sugarcane,Crop_Wheat,Soil_Alluvial,Soil_Black,Soil_Laterite,Soil_Loamy,Soil_Red,Soil_Sandy,Season_Kharif,Season_Rabi,District_Andhra Pradesh,District_Bihar,District_Gujarat,District_Haryana,District_Karnataka,District_Madhya Pradesh,District_Maharashtra,District_Punjab,District_Rajasthan,District_Tamil Nadu,District_Uttar Pradesh,District_West Bengal
Maize,Red,0.73,2023-07-13,194,7,Andhra Pradesh,15.9129,79.74,34.2,40.0,28.6,1132.2,1132.2,82.9,4.9,23.2,3105.5,Kharif,4.46,4.99,3.89,128,5,1.1,6.67,0.809,300.67,4.79,62.2,17.1,20.7,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,5.78,2023-06-16,167,6,Uttar Pradesh,26.8467,80.9462,25.5,32.1,19.8,1302.4,1302.4,87.6,5.9,23.3,797.9,Kharif,104.68,135.6,82.31,103,6,2.2,6.28,0.9,276.91,64.66,38.8,22.3,38.9,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Cotton,Black,1.11,2023-07-24,205,7,Andhra Pradesh,15.9129,79.74,28.9,35.0,21.9,1258.7,1258.7,89.8,2.7,15.8,2167.3,Kharif,1.69,2.01,1.41,156,3,2.86,7.88,0.9,174.91,2.22,35.7,43.7,20.6,332,Medium,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,5.46,2023-06-26,177,6,Haryana,29.0588,76.0856,31.8,41.6,24.5,1788.7,1788.7,80.2,3.7,21.5,2779.1,Kharif,3.91,4.7,2.47,126,20,2.32,6.16,0.9,312.85,2.91,36.0,25.3,38.7,543,Low,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Wheat,Laterite,0.93,2023-10-26,299,10,Bihar,25.0961,85.3131,19.0,26.1,11.8,400.0,400.0,44.4,9.1,21.7,1782.4,Rabi,3.6,4.09,2.44,120,8,0.52,4.75,0.609,183.82,3.04,51.8,20.9,27.2,332,High,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
Sugarcane,Black,3.54,2023-07-18,199,7,Tamil Nadu,11.1271,78.6569,33.8,45.5,26.2,1638.7,1638.7,87.6,8.8,20.5,1492.9,Kharif,99.61,116.75,65.49,97,5,3.13,7.0,0.9,243.18,101.71,23.4,48.2,28.4,332,High,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Maize,Red,1.03,2023-06-09,160,6,Uttar Pradesh,26.8467,80.9462,23.6,32.1,20.8,858.8,858.8,84.4,7.6,19.3,2239.4,Kharif,5.49,6.06,4.25,165,5,2.05,6.38,0.825,244.91,5.1,51.3,29.2,19.5,332,Low,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,Black,3.02,2023-07-21,202,7,Punjab,30.7333,76.7794,26.9,31.3,21.5,1997.5,1997.5,80.0,9.4,18.3,2954.5,Kharif,4.87,6.06,2.93,174,9,2.02,7.92,0.9,200.93,3.79,36.2,59.0,4.9,543,Low,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Soybean,Red,2.38,2023-06-30,181,6,Madhya Pradesh,22.9734,78.6569,30.4,38.8,23.8,1262.1,1262.1,80.4,3.4,21.7,3191.4,Kharif,1.71,2.12,1.05,153,5,2.18,6.33,0.9,270.3,1.84,56.1,16.5,27.4,332,Medium,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Soybean,Black,2.79,2023-07-05,186,7,Madhya Pradesh,22.9734,78.6569,24.8,30.8,22.3,714.4,714.4,86.5,5.7,18.5,1475.9,Kharif,1.97,2.19,1.51,102,7,3.02,8.32,0.882,240.19,2.57,28.8,50.5,20.7,332,Low,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Sugarcane,Black,1.97,2023-06-30,181,6,Karnataka,15.3173,75.7139,25.7,35.1,20.5,1818.7,1818.7,88.3,3.9,24.2,746.5,Kharif,91.77,123.61,77.65,101,9,2.51,7.73,0.9,236.97,36.15,29.9,33.7,36.4,332,Medium,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Sugarcane,Alluvial,0.64,2023-06-07,158,6,Karnataka,15.3173,75.7139,28.6,35.7,20.5,1930.3,1930.3,81.3,3.8,16.4,1090.1,Kharif,93.02,103.12,72.09,104,11,1.58,6.1,0.9,194.67,114.97,31.0,33.2,35.8,332,High,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Maize,Alluvial,1.7,2023-06-11,162,6,Andhra Pradesh,15.9129,79.74,29.3,39.2,25.4,762.9,762.9,88.1,5.7,20.5,1943.7,Kharif,6.57,8.88,4.19,101,11,1.55,6.33,0.89,260.06,5.15,37.8,28.3,34.0,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Soybean,Red,4.6,2023-06-08,159,6,Madhya Pradesh,22.9734,78.6569,23.0,32.1,14.2,1330.2,1330.2,85.8,8.8,21.8,1357.1,Kharif,1.64,1.93,1.24,107,5,1.2,6.6,0.848,189.22,2.09,56.2,22.8,21.0,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Maize,Sandy,1.4,2023-07-31,212,7,Andhra Pradesh,15.9129,79.74,28.2,39.2,20.4,728.9,728.9,70.8,5.6,16.0,1781.3,Kharif,3.67,4.15,3.26,97,9,0.83,6.62,0.807,180.17,2.24,78.2,6.8,15.0,332,Medium,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Sugarcane,Alluvial,0.21,2023-07-05,186,7,Tamil Nadu,11.1271,78.6569,27.0,34.6,20.0,1742.0,1742.0,80.9,6.8,24.2,1481.3,Kharif,106.34,121.18,86.3,166,9,3.39,7.62,0.9,285.38,111.26,59.1,30.5,10.4,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Wheat,Sandy,3.07,2023-10-28,301,10,West Bengal,22.9868,87.855,19.2,26.2,15.3,269.5,269.5,64.6,8.8,21.4,2270.0,Rabi,2.66,3.44,1.88,152,9,0.88,7.21,0.628,194.86,3.84,84.1,13.9,2.0,332,High,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Soybean,Black,3.29,2023-06-26,177,6,Rajasthan,27.0238,74.2179,28.3,33.7,20.1,1095.1,1095.1,88.7,7.9,20.3,2798.4,Kharif,2.57,3.08,2.11,151,19,3.87,7.19,0.9,206.4,3.72,38.4,47.9,13.6,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Sugarcane,Black,1.02,2023-06-29,180,6,Karnataka,15.3173,75.7139,28.5,38.9,24.9,1469.8,1469.8,73.6,4.8,19.6,1281.6,Kharif,94.75,104.43,76.51,122,9,3.4,7.34,0.9,235.78,53.16,23.9,32.7,43.4,332,Medium,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Wheat,Sandy,1.51,2023-10-15,288,10,Punjab,30.7333,76.7794,18.4,26.6,16.4,510.0,510.0,53.3,11.4,17.9,1674.1,Rabi,3.4,4.16,2.49,119,24,1.03,6.48,0.769,140.79,3.24,70.7,8.3,21.1,543,Low,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
Rice,Alluvial,0.33,2023-07-26,207,7,Punjab,30.7333,76.7794,25.5,34.6,21.0,1096.1,1096.1,81.9,9.4,17.1,2057.7,Kharif,4.15,5.74,2.93,133,8,2.5,7.47,0.9,170.1,2.59,41.7,20.4,37.9,543,Low,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Soybean,Red,1.39,2023-06-14,165,6,Madhya Pradesh,22.9734,78.6569,29.5,37.7,27.5,763.9,763.9,85.1,7.8,16.9,3286.4,Kharif,1.76,2.17,1.09,173,6,1.57,6.97,0.847,203.05,2.01,66.6,20.4,13.1,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Sugarcane,Alluvial,2.65,2023-07-22,203,7,Tamil Nadu,11.1271,78.6569,26.2,38.1,23.1,1701.4,1701.4,77.2,12.0,19.8,1256.7,Kharif,100.95,113.37,80.68,154,5,2.5,6.37,0.9,274.48,70.58,38.4,25.9,35.7,332,Low,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Rice,Black,0.78,2023-06-27,178,6,Punjab,30.7333,76.7794,21.2,27.8,17.9,2311.6,2311.6,77.1,9.2,18.2,1328.4,Kharif,4.9,5.9,4.3,118,2,2.19,8.46,0.9,192.45,4.07,36.0,34.2,29.7,543,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Sugarcane,Loamy,4.41,2023-06-22,173,6,Uttar Pradesh,26.8467,80.9462,27.7,37.3,20.6,1633.0,1633.0,86.1,7.1,15.6,1238.2,Kharif,87.32,105.97,77.39,122,7,2.11,6.74,0.9,167.23,77.49,41.5,39.7,18.8,332,High,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Rice,Laterite,3.25,2023-06-09,160,6,Haryana,29.0588,76.0856,33.8,50.8,25.9,1095.4,1095.4,81.0,10.4,25.0,3622.4,Kharif,3.54,3.99,2.65,151,17,0.73,5.86,0.808,342.6,3.5,55.4,24.0,20.6,543,High,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Maize,Alluvial,0.56,2023-06-05,156,6,Uttar Pradesh,26.8467,80.9462,25.1,28.0,22.8,857.4,857.4,81.7,7.2,16.5,2013.3,Kharif,6.17,6.98,4.94,131,5,3.37,6.65,0.898,199.36,5.3,30.2,31.3,38.5,332,Medium,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Soybean,Black,3.8,2023-07-05,186,7,Madhya Pradesh,22.9734,78.6569,22.0,24.7,18.4,858.7,858.7,88.6,11.1,22.8,1856.9,Kharif,2.52,2.96,2.19,159,11,2.98,7.47,0.9,183.13,2.49,34.6,51.2,14.2,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Rice,Alluvial,0.88,2023-07-01,182,7,Haryana,29.0588,76.0856,38.4,45.1,33.6,1363.4,1363.4,88.5,7.2,15.1,3192.0,Kharif,4.63,5.3,3.63,112,24,1.84,6.91,0.9,284.87,3.84,53.1,16.5,30.4,543,High,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Cotton,Black,1.2,2023-06-25,176,6,Maharashtra,19.7515,75.7139,25.8,33.6,18.5,806.5,806.5,78.8,2.5,20.4,1298.3,Kharif,1.79,2.29,1.35,120,9,2.3,7.75,0.875,188.69,1.15,22.3,40.8,36.9,332,Low,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Cotton,Red,0.5,2023-07-17,198,7,Andhra Pradesh,15.9129,79.74,21.6,31.1,16.7,1139.7,1139.7,80.9,5.0,16.8,899.8,Kharif,1.59,2.07,1.29,133,9,2.1,6.45,0.9,145.61,2.47,67.3,24.3,8.4,332,Medium,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Soybean,Red,3.03,2023-06-14,165,6,Rajasthan,27.0238,74.2179,25.7,42.0,17.4,962.0,962.0,74.6,9.3,18.0,2698.3,Kharif,2.52,3.03,1.94,172,11,1.68,6.59,0.795,177.61,3.18,56.6,16.0,27.4,332,Medium,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Soybean,Black,0.4,2023-06-04,155,6,Rajasthan,27.0238,74.2179,25.6,37.4,22.5,865.6,865.6,84.6,3.3,21.8,2565.3,Kharif,2.69,2.97,2.0,166,24,3.9,7.01,0.9,235.41,0.95,26.5,39.3,34.2,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Cotton,Black,3.18,2023-06-06,157,6,Gujarat,22.2587,71.1924,31.6,39.5,24.0,997.7,997.7,81.1,9.3,20.3,2128.8,Kharif,1.56,2.01,1.13,131,15,3.84,8.1,0.9,229.38,2.19,32.8,51.9,15.4,332,Medium,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Rice,Alluvial,0.7,2023-06-16,167,6,Bihar,25.0961,85.3131,24.1,26.1,19.7,2352.3,2352.3,70.7,5.2,21.0,2272.9,Kharif,4.52,5.21,3.9,165,11,1.94,6.03,0.9,197.98,4.65,56.6,24.4,18.9,332,Medium,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Soybean,Black,1.91,2023-06-27,178,6,Madhya Pradesh,22.9734,78.6569,25.0,29.8,22.0,993.7,993.7,76.3,2.4,16.4,2392.2,Kharif,2.0,2.62,1.52,161,5,2.12,6.93,0.834,207.89,3.22,34.3,33.6,32.1,332,Medium,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Soybean,Red,1.34,2023-06-14,165,6,Rajasthan,27.0238,74.2179,33.7,41.4,22.3,1154.0,1154.0,76.2,8.1,20.2,3071.4,Kharif,2.46,3.19,1.8,131,12,1.03,6.81,0.791,265.18,2.44,65.2,23.4,11.4,332,High,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
Maize,Red,2.64,2023-07-13,194,7,Andhra Pradesh,15.9129,79.74,28.4,36.3,18.7,662.9,662.9,79.1,4.4,23.4,2515.0,Kharif,5.76,7.58,3.64,135,11,1.55,6.57,0.879,313.44,5.68,65.4,22.4,12.2,332,Low,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Cotton,Sandy,0.38,2023-07-07,188,7,Andhra Pradesh,15.9129,79.74,22.8,34.4,18.7,1142.9,1142.9,80.3,6.3,24.9,753.7,Kharif,1.39,1.8,1.0,97,3,0.95,6.25,0.9,316.48,1.86,77.8,9.3,12.9,332,High,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,0.67,2023-06-09,160,6,Bihar,25.0961,85.3131,25.9,29.9,20.4,1522.8,1522.8,72.6,4.7,19.4,1795.2,Kharif,5.27,6.77,3.84,113,2,2.95,7.3,0.9,237.08,5.7,30.8,17.2,52.1,332,Medium,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Rice,Laterite,0.65,2023-07-24,205,7,Haryana,29.0588,76.0856,24.0,34.2,14.2,1206.6,1206.6,77.4,9.2,16.7,2210.6,Kharif,2.77,3.33,2.05,159,12,1.09,4.57,0.863,141.52,1.91,40.6,32.7,26.6,543,High,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
Maize,Red,2.7,2023-06-07,158,6,Karnataka,15.3173,75.7139,29.8,37.7,22.2,987.2,987.2,86.5,3.1,20.0,1853.8,Kharif,5.09,6.7,3.17,94,4,1.88,6.27,0.9,239.56,6.3,56.3,22.6,21.1,332,Medium,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
Wheat,Alluvial,1.37,2023-11-17,321,11,Uttar Pradesh,26.8467,80.9462,15.4,20.4,13.4,569.4,569.4,52.8,7.5,17.3,1451.1,Rabi,4.19,5.31,3.35,125,14,1.81,6.67,0.9,95.67,4.45,57.2,20.0,22.8,332,High,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
Maize,Alluvial,1.06,2023-06-14,165,6,Bihar,25.0961,85.3131,23.5,27.0,18.2,725.9,725.9,82.0,2.9,15.6,2005.3,Kharif,6.69,7.85,5.78,147,4,2.72,6.24,0.9,166.52,9.38,42.3,30.1,27.6,332,Low,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
Maize,Red,2.07,2023-07-25,206,7,Uttar Pradesh,26.8467,80.9462,27.5,36.8,24.2,865.3,865.3,71.1,11.8,20.9,1971.4,Kharif,6.21,7.72,4.98,114,2,2.31,5.86,0.9,235.29,3.16,54.6,16.2,29.3,332,High,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Sugarcane,Red,0.75,2023-07-20,201,7,Tamil Nadu,11.1271,78.6569,30.6,37.8,21.7,1664.5,1664.5,85.5,5.3,23.3,1428.8,Kharif,74.23,91.09,58.49,116,7,2.27,6.92,0.9,257.78,37.91,55.8,17.4,26.8,332,Low,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Maize,Red,4.95,2023-06-28,179,6,Andhra Pradesh,15.9129,79.74,26.6,33.2,17.1,692.4,692.4,85.9,9.9,17.4,2659.3,Kharif,5.4,7.45,4.66,157,10,1.52,5.71,0.742,178.37,3.87,68.6,27.1,4.3,332,High,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
Rice,Alluvial,1.9,2023-07-24,205,7,Punjab,30.7333,76.7794,22.1,28.0,18.7,1455.1,1455.1,84.3,2.6,19.9,1751.3,Kharif,5.42,6.16,4.61,145,4,2.69,7.55,0.9,163.49,3.56,49.0,32.4,18.6,543,High,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
Soybean,Red,0.52,2023-06-24,175,6,Madhya Pradesh,22.9734,78.6569,28.8,38.2,24.3,774.7,774.7,86.3,8.6,20.1,2490.1,Kharif,1.88,2.38,1.43,130,11,2.39,6.04,0.802,256.89,2.59,66.1,17.8,16.1,332,Low,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Rice,Alluvial,1.57,2023-07-13,194,7,Uttar Pradesh,26.8467,80.9462,22.6,29.9,16.9,2490.5,2490.5,71.8,4.4,23.8,2057.2,Kharif,4.7,5.93,3.76,168,6,1.56,7.12,0.9,235.25,2.06,56.8,25.8,17.4,332,Low,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Soybean,Black,2.4,2023-06-16,167,6,Maharashtra,19.7515,75.7139,24.6,34.0,18.3,943.6,943.6,76.9,8.0,24.7,2434.8,Kharif,2.41,3.07,1.57,170,5,3.21,8.16,0.9,237.14,2.81,37.9,54.2,7.9,332,High,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Wheat,Red,4.08,2023-11-20,324,11,West Bengal,22.9868,87.855,22.2,28.3,18.5,339.9,339.9,69.0,6.9,16.1,2058.7,Rabi,3.89,5.12,2.65,111,14,2.48,6.1,0.712,155.33,5.5,56.4,16.7,27.0,332,Low,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Sugarcane,Loamy,0.75,2023-06-07,158,6,Maharashtra,19.7515,75.7139,25.4,33.5,23.4,1960.9,1960.9,85.2,6.3,15.5,1230.1,Kharif,92.96,105.64,57.59,170,11,2.1,6.44,0.9,194.44,75.6,44.6,28.5,26.9,332,High,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Rice,Laterite,1.5,2023-06-23,174,6,West Bengal,22.9868,87.855,32.5,40.1,26.6,2389.8,2389.8,82.1,4.0,24.2,3356.3,Kharif,2.67,3.03,1.63,147,3,1.4,5.18,0.9,303.18,2.21,56.4,37.2,6.4,332,Low,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Wheat,Alluvial,3.38,2023-10-26,299,10,Haryana,29.0588,76.0856,17.6,27.6,14.2,231.1,231.1,61.7,4.7,23.2,1892.0,Rabi,5.2,6.63,3.65,139,19,1.69,7.2,0.756,179.95,3.13,30.2,25.2,44.6,543,Low,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
Rice,Black,3.06,2023-06-26,177,6,Uttar Pradesh,26.8467,80.9462,30.5,35.2,22.8,1470.8,1470.8,83.7,4.2,19.2,3096.2,Kharif,4.52,5.31,2.82,150,4,3.87,7.91,0.9,271.66,3.96,24.4,42.5,33.0,332,High,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
Soybean,Red,5.29,2023-06-12,163,6,Maharashtra,19.7515,75.7139,28.2,33.9,26.2,1390.4,1390.4,78.5,8.0,15.5,3056.2,Kharif,2.43,3.27,2.07,167,3,2.36,6.86,0.9,168.61,2.15,52.4,20.1,27.5,332,Medium,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
Maize,Alluvial,1.82,2023-06-23,174,6,Karnataka,15.3173,75.7139,33.6,42.7,24.3,1170.5,1170.5,71.7,2.1,15.3,2852.2,Kharif,5.57,6.27,3.91,122,9,2.61,7.61,0.9,179.08,5.68,58.3,21.5,20.2,332,High,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
