DATE,Temp_Max_C,Temp_Min_C,Temp_Mean_C,Rainfall_mm,SolarRad_MJ_m2,Rel_Humidity_pct,WindSpeed_mps,GDD,Cumulative_Rainfall_mm
2015-02-05,32.5,15.5,23.38,0.0,18.86,41.95,2.26,14.0,31.240000000000002
2015-02-06,33.9,15.49,23.92,0.0,18.26,33.31,3.55,14.695,31.240000000000002
2015-02-07,33.86,16.63,24.9,0.0,19.7,31.12,2.52,15.244999999999997,31.240000000000002
2015-02-08,31.67,15.45,23.03,0.0,19.64,31.44,1.88,13.560000000000002,31.240000000000002
2015-02-09,31.71,13.66,22.89,0.0,18.4,43.58,2.73,12.685000000000002,31.240000000000002
2015-02-10,31.94,19.42,24.7,3.15,17.79,43.81,3.14,15.68,34.39
2015-02-11,33.44,18.3,25.38,0.12,18.9,45.8,2.05,15.869999999999997,34.51
2015-02-12,32.7,17.43,24.22,0.0,19.46,42.5,2.31,15.065000000000001,34.51
2015-02-13,33.19,13.83,23.13,0.0,21.41,32.59,1.31,13.509999999999998,34.51
2015-02-14,34.72,15.66,25.54,0.0,21.85,21.78,2.03,15.189999999999998,34.51
2015-02-15,34.94,17.19,25.81,0.0,22.19,21.85,2.2,16.064999999999998,34.51
2015-02-16,36.56,16.74,26.64,0.0,22.59,22.08,1.45,16.65,34.51
2015-02-17,35.44,17.57,25.16,0.0,22.65,25.18,3.43,16.505,34.51
2015-02-18,34.43,15.65,24.94,0.0,22.78,25.32,1.24,15.04,34.51
2015-02-19,34.87,18.87,26.25,0.0,22.39,20.57,1.12,16.869999999999997,34.51
2015-02-20,35.11,16.97,25.97,0.0,21.89,21.98,1.76,16.04,34.51
2015-02-21,35.39,16.98,26.21,0.0,21.87,22.54,1.32,16.185000000000002,34.51
2015-02-22,36.88,18.88,27.31,0.0,22.71,22.64,1.99,17.880000000000003,34.51
2015-02-23,36.65,17.96,27.2,0.0,22.86,22.35,1.73,17.305,34.51
2015-02-24,37.4,18.95,27.93,0.0,22.62,20.52,1.66,18.174999999999997,34.51
2015-02-25,35.55,18.04,26.3,0.0,21.39,31.54,2.34,16.794999999999998,34.51
2015-02-26,33.59,18.17,25.37,0.0,21.62,32.53,2.33,15.880000000000003,34.51
2015-02-27,33.56,15.03,23.98,0.0,23.05,25.38,1.44,14.295000000000002,34.51
2015-02-28,33.92,17.09,24.92,4.3,14.01,23.71,3.47,15.505000000000003,38.809999999999995
2015-03-01,26.11,17.4,20.63,14.63,5.51,75.59,2.31,11.754999999999999,53.44
2015-03-02,29.32,15.84,21.62,0.7,19.08,64.58,4.78,12.579999999999998,54.14
2015-03-03,27.51,12.27,19.52,0.11,23.99,52.62,1.79,9.89,54.25
2015-03-04,28.77,11.27,20.15,0.0,24.54,47.29,1.96,10.02,54.25
2015-03-05,32.56,13.37,22.56,0.0,24.05,41.67,1.11,12.965,54.25
2015-03-06,33.56,16.38,24.35,0.0,24.09,37.34,1.18,14.969999999999999,54.25
2015-03-07,33.96,15.83,25.21,0.0,23.64,34.5,2.25,14.895,54.25
2015-03-08,34.92,16.84,26.11,0.0,23.66,35.96,1.62,15.880000000000003,54.25
2015-03-09,34.44,17.39,25.36,0.01,22.62,36.17,3.98,15.915,54.26
2015-03-10,35.62,18.78,27.34,0.28,20.18,44.39,2.8,17.2,54.54
2015-03-11,35.57,21.88,28.28,5.86,18.22,47.05,2.7,18.725,60.4
2015-03-12,34.49,21.93,27.68,0.62,19.29,54.64,2.51,18.21,61.019999999999996
2015-03-13,35.71,19.06,27.49,6.97,21.75,52.68,2.06,17.384999999999998,67.99
2015-03-14,34.3,20.46,26.69,6.29,18.24,58.0,3.02,17.38,74.28
2015-03-15,31.94,21.11,25.45,18.39,19.85,65.95,3.24,16.525,92.67
2015-03-16,31.74,17.04,23.86,0.0,23.22,62.09,2.05,14.39,92.67
2015-03-17,32.57,14.53,23.13,0.0,24.52,48.57,2.17,13.55,92.67
2015-03-18,33.17,14.84,23.7,0.0,24.98,50.4,1.86,14.005000000000003,92.67
2015-03-19,35.02,15.08,24.83,0.0,24.52,45.4,2.4,15.05,92.67
2015-03-20,36.16,17.07,26.65,0.0,23.47,43.64,2.86,16.615,92.67
2015-03-21,36.93,19.32,28.7,0.0,23.41,40.69,2.91,18.125,92.67
2015-03-22,38.4,22.05,30.61,0.0,23.25,41.05,2.01,20.225,92.67
2015-03-23,38.85,22.59,31.44,0.0,23.45,35.24,1.65,20.72,92.67
2015-03-24,39.97,21.35,30.72,0.0,25.04,34.34,1.49,20.66,92.67
2015-03-25,40.62,21.52,31.89,0.0,24.84,30.54,1.89,21.07,92.67
2015-03-26,41.2,22.69,32.59,0.0,21.3,25.39,2.85,21.945,92.67
2015-03-27,40.73,24.64,33.21,0.0,24.43,24.03,1.89,22.685000000000002,92.67
2015-03-28,39.94,23.68,32.28,0.04,22.21,29.93,1.49,21.81,92.71000000000001
2015-03-29,39.08,25.92,31.51,0.27,7.63,30.52,3.19,22.5,92.98
2015-03-30,36.44,21.46,29.07,1.66,22.68,36.71,2.28,18.95,94.64
2015-03-31,38.38,20.13,28.88,0.0,25.73,28.54,2.29,19.255000000000003,94.64
2015-04-01,39.33,17.86,28.64,0.0,26.97,21.26,2.07,18.595,94.64
2015-04-02,39.54,18.15,28.95,0.0,26.99,30.91,2.59,18.845,94.64
2015-04-03,38.51,19.22,28.47,0.0,27.27,35.43,4.29,18.865,94.64
2015-04-04,37.15,18.96,27.99,0.0,27.48,41.51,2.89,18.055,94.64
2015-04-05,37.17,21.63,28.86,0.0,24.92,43.51,2.27,19.4,94.64
2015-04-06,38.46,19.85,29.14,0.0,25.02,34.98,1.64,19.155,94.64
2015-04-07,39.1,19.48,29.41,0.0,25.67,31.75,2.2,19.29,94.64
2015-04-08,39.52,21.29,30.87,0.0,24.47,32.57,2.63,20.405,94.64
2015-04-09,40.94,25.19,32.93,0.34,22.97,30.99,2.05,23.064999999999998,94.98
2015-04-10,39.52,25.59,32.88,0.09,21.84,32.43,1.85,22.555,95.07000000000001
2015-04-11,37.07,25.27,30.37,9.06,18.12,43.79,2.04,21.17,104.13000000000001
2015-04-12,31.69,23.28,27.17,16.64,22.63,58.23,1.71,17.485,120.77000000000001
2015-04-13,30.54,21.6,25.84,4.52,20.64,61.69,1.58,16.07,125.29
2015-04-14,29.8,20.27,24.95,3.6,19.96,64.65,2.77,15.035,128.89000000000001
2015-04-15,33.49,19.98,27.08,0.02,19.66,56.08,2.74,16.735,128.91000000000003
2015-04-16,35.36,21.24,28.57,0.0,25.54,53.27,2.72,18.299999999999997,128.91000000000003
2015-04-17,38.38,22.55,30.4,0.0,26.45,46.4,2.05,20.465000000000003,128.91000000000003
2015-04-18,41.42,22.64,31.81,0.0,26.15,40.09,2.67,22.03,128.91000000000003
2015-04-19,41.76,22.8,32.52,0.0,26.34,35.54,2.88,22.28,128.91000000000003
2015-04-20,42.07,23.12,32.82,0.0,24.38,34.76,2.37,22.595,128.91000000000003
2015-04-21,41.9,26.21,34.43,0.0,22.78,30.31,2.0,24.055,128.91000000000003
2015-04-22,40.92,26.33,33.84,0.0,21.48,25.15,2.83,23.625,128.91000000000003
2015-04-23,41.3,25.05,32.86,0.0,25.41,26.98,3.72,23.174999999999997,128.91000000000003
2015-04-24,40.86,22.61,31.88,0.0,28.03,27.74,3.4,21.735,128.91000000000003
2015-04-25,42.1,22.78,32.77,0.0,27.64,27.37,3.51,22.439999999999998,128.91000000000003
2015-04-26,42.1,24.1,33.54,0.0,26.99,30.78,3.7,23.1,128.91000000000003
2015-04-27,42.91,25.11,34.2,0.0,26.74,31.5,3.03,24.009999999999998,128.91000000000003
2015-04-28,43.61,25.45,34.3,0.0,27.02,30.67,3.49,24.53,128.91000000000003
2015-04-29,43.16,24.64,33.9,0.0,26.98,28.39,3.06,23.9,128.91000000000003
2015-04-30,43.41,24.25,33.79,0.0,27.25,30.16,2.35,23.83,128.91000000000003
2015-05-01,42.81,25.0,33.77,0.0,27.68,27.81,2.81,23.905,128.91000000000003
2015-05-02,43.27,23.75,33.85,0.0,27.7,25.28,2.07,23.510000000000005,128.91000000000003
2015-05-03,43.14,24.72,34.05,0.0,27.29,23.83,3.49,23.93,128.91000000000003
2015-05-04,43.23,24.3,34.44,0.0,26.26,25.4,3.05,23.765,128.91000000000003
2015-05-05,42.69,25.29,34.58,0.0,26.08,23.09,2.36,23.989999999999995,128.91000000000003
2015-05-06,42.9,27.73,34.87,0.01,26.94,23.07,3.95,25.314999999999998,128.92000000000002
2015-05-07,43.65,25.2,34.91,0.02,26.64,24.22,2.94,24.424999999999997,128.94000000000003
2015-05-08,44.4,26.49,35.7,0.0,25.98,23.26,3.09,25.445,128.94000000000003
2015-05-09,44.42,28.19,36.54,0.04,22.89,22.63,4.24,26.305,128.98000000000002
2015-05-10,42.46,27.51,35.47,4.14,24.97,26.44,4.46,24.985,133.12
2015-05-11,43.2,26.74,35.37,0.03,25.87,27.55,3.47,24.97,133.15
2015-05-12,41.88,27.92,34.98,0.38,24.67,31.95,2.71,24.900000000000006,133.53
2015-05-13,39.23,27.77,33.83,0.74,23.14,36.56,3.28,23.5,134.27
2015-05-14,39.22,25.6,33.03,1.18,18.96,41.42,4.53,22.409999999999997,135.45000000000002
2015-05-15,40.12,29.03,34.56,1.02,21.76,34.0,3.22,24.575000000000003,136.47000000000003
2015-05-16,44.14,27.67,36.08,0.03,25.23,29.42,3.23,25.905,136.50000000000003
2015-05-17,45.02,27.83,36.54,0.0,27.18,25.1,3.98,26.424999999999997,136.50000000000003
2015-05-18,45.81,27.28,36.58,0.0,28.27,25.44,3.64,26.545,136.50000000000003
2015-05-19,45.71,26.95,36.15,0.0,27.75,31.27,2.42,26.33,136.50000000000003
2015-05-20,45.63,26.84,36.06,0.0,28.0,34.52,1.73,26.235,136.50000000000003
2015-05-21,44.41,26.08,35.28,0.0,28.2,37.14,2.24,25.244999999999997,136.50000000000003
2015-05-22,43.81,26.7,35.07,0.0,28.13,37.14,1.65,25.255000000000003,136.50000000000003
2015-05-23,41.7,26.82,34.35,0.0,28.42,38.19,2.33,24.260000000000005,136.50000000000003
2015-05-24,42.81,26.46,34.25,0.0,28.01,40.41,2.42,24.635000000000005,136.50000000000003
2015-05-25,41.86,25.86,33.49,0.0,27.07,43.62,2.8,23.86,136.50000000000003
2015-05-26,43.1,25.51,34.09,0.0,27.1,41.66,2.04,24.305,136.50000000000003
2015-05-27,43.52,26.25,34.54,0.0,27.58,40.46,2.39,24.885000000000005,136.50000000000003
2015-05-28,43.83,26.47,34.87,0.03,27.67,41.15,2.4,25.15,136.53000000000003
2015-05-29,44.59,26.94,35.95,0.08,27.17,35.61,3.23,25.765,136.61000000000004
2015-05-30,44.02,27.88,35.97,0.05,24.91,35.28,1.26,25.950000000000003,136.66000000000005
2015-05-31,41.83,28.75,35.29,0.0,24.16,31.54,3.94,25.29,136.66000000000005
2015-06-01,43.1,27.02,35.49,0.0,21.05,34.25,2.78,25.060000000000002,136.66000000000005
2015-06-02,42.63,26.31,34.29,0.0,26.9,36.82,2.64,24.47,136.66000000000005
2015-06-03,40.98,24.8,33.44,0.0,27.16,39.49,3.86,22.89,136.66000000000005
2015-06-04,42.49,26.95,35.13,0.0,24.05,36.02,2.74,24.72,136.66000000000005
2015-06-05,41.16,29.08,35.27,0.1,18.48,32.49,2.1,25.119999999999997,136.76000000000005
2015-06-06,41.87,28.21,35.09,0.13,19.26,34.83,3.32,25.04,136.89000000000004
2015-06-07,42.9,28.77,35.62,1.77,21.12,37.05,4.24,25.835,138.66000000000005
2015-06-08,38.44,29.8,33.77,7.72,16.47,45.43,1.87,24.119999999999997,146.38000000000005
2015-06-09,36.24,26.45,31.32,3.66,24.59,59.12,3.0,21.345,150.04000000000005
2015-06-10,37.11,26.04,31.3,6.4,23.48,58.88,2.5,21.575,156.44000000000005
2015-06-11,34.38,25.63,29.92,14.51,21.88,68.54,3.3,20.005000000000003,170.95000000000005
2015-06-12,32.21,25.69,28.51,22.82,21.09,77.09,2.93,18.950000000000003,193.77000000000004
2015-06-13,30.99,24.73,27.71,12.15,12.37,77.7,2.73,17.86,205.92000000000004
2015-06-14,32.79,24.42,27.96,27.4,17.45,75.81,3.19,18.605,233.32000000000005
2015-06-15,32.82,23.44,27.74,18.19,19.8,76.77,3.83,18.130000000000003,251.51000000000005
2015-06-16,33.27,22.95,27.93,10.61,20.94,73.8,4.08,18.11,262.12000000000006
2015-06-17,33.67,23.77,28.65,7.52,23.55,73.62,3.74,18.72,269.64000000000004
2015-06-18,30.8,24.36,27.76,32.19,18.62,78.92,2.8,17.58,301.83000000000004
2015-06-19,31.93,24.65,27.9,5.08,19.97,78.52,2.71,18.29,306.91
2015-06-20,32.12,24.14,27.97,0.33,20.1,78.12,5.52,18.13,307.24
2015-06-21,30.85,25.25,27.72,9.02,19.97,81.83,3.21,18.05,316.26
2015-06-22,32.1,24.91,27.64,23.22,13.58,81.34,2.77,18.505000000000003,339.48
2015-06-23,33.09,24.0,28.06,4.52,15.32,77.22,2.91,18.545,344.0
2015-06-24,32.32,24.92,27.96,4.27,18.57,74.66,5.26,18.62,348.27
2015-06-25,32.5,24.74,28.17,0.16,17.96,74.1,5.56,18.619999999999997,348.43
2015-06-26,34.16,23.59,28.23,0.55,17.23,74.16,3.77,18.875,348.98
2015-06-27,34.69,23.49,28.52,0.04,21.59,73.32,2.61,19.089999999999996,349.02000000000004
2015-06-28,34.03,23.25,28.25,0.0,22.42,73.5,2.46,18.64,349.02000000000004
2015-06-29,33.96,23.67,28.51,0.03,22.86,72.46,3.11,18.815,349.05
2015-06-30,32.34,24.14,27.65,0.01,22.93,76.17,2.52,18.240000000000002,349.06
2015-07-01,34.27,23.74,28.43,0.0,22.48,71.26,2.4,19.005000000000003,349.06
2015-07-02,34.07,23.32,28.0,0.0,23.91,71.74,2.13,18.695,349.06
2015-07-03,34.14,23.04,28.08,0.0,23.8,71.67,3.05,18.59,349.06
2015-07-04,34.87,23.49,28.47,0.0,23.99,70.25,3.67,19.18,349.06
2015-07-05,35.59,23.62,28.84,0.0,23.14,68.95,4.29,19.605000000000004,349.06
2015-07-06,34.8,23.29,28.56,0.0,18.14,68.99,4.27,19.044999999999998,349.06
2015-07-07,35.07,24.08,28.85,0.0,14.78,68.88,3.97,19.575,349.06
2015-07-08,35.26,23.57,28.75,0.01,14.37,68.74,3.0,19.415,349.07
2015-07-09,33.69,23.65,28.08,0.13,17.24,69.27,3.62,18.669999999999998,349.2
2015-07-10,35.4,23.78,28.71,0.2,16.71,68.94,3.36,19.59,349.4
2015-07-11,34.41,23.84,28.37,0.38,17.51,70.25,2.87,19.125,349.78
2015-07-12,35.58,23.87,29.4,0.02,20.69,66.71,3.39,19.725,349.79999999999995
2015-07-13,35.71,23.99,29.55,0.0,22.8,66.73,2.22,19.85,349.79999999999995
2015-07-14,36.2,24.2,29.77,0.0,23.39,66.44,1.8,20.200000000000003,349.79999999999995
2015-07-15,36.97,24.02,29.79,0.0,21.53,64.27,1.87,20.494999999999997,349.79999999999995
2015-07-16,35.6,24.18,29.46,0.0,19.18,65.95,2.76,19.89,349.79999999999995
2015-07-17,34.67,24.7,29.11,0.09,17.33,66.85,2.85,19.685000000000002,349.88999999999993
2015-07-18,33.9,24.54,28.68,4.61,13.1,71.42,2.59,19.22,354.49999999999994
2015-07-19,29.47,24.35,26.39,26.98,9.11,83.81,2.88,16.91,381.47999999999996
2015-07-20,27.61,24.08,25.64,27.57,9.87,88.72,2.97,15.844999999999999,409.04999999999995
2015-07-21,30.15,24.08,26.65,2.89,12.66,83.27,3.3,17.115,411.93999999999994
2015-07-22,28.98,24.18,26.17,19.61,16.49,87.06,2.84,16.58,431.54999999999995
2015-07-23,31.15,24.11,27.03,4.74,15.55,83.35,2.58,17.63,436.28999999999996
2015-07-24,31.52,23.84,27.29,12.73,14.23,81.65,3.27,17.68,449.02
2015-07-25,30.56,23.78,26.41,13.9,10.43,82.05,2.08,17.17,462.91999999999996
2015-07-26,32.19,23.05,26.69,6.2,15.08,78.22,3.75,17.619999999999997,469.11999999999995
2015-07-27,28.74,23.31,25.58,6.98,10.27,83.34,2.57,16.025,476.09999999999997
2015-07-28,29.73,23.44,26.08,2.68,13.86,79.3,1.62,16.585,478.78
2015-07-29,32.04,23.12,26.77,4.66,11.81,75.31,2.88,17.58,483.44
2015-07-30,32.41,22.79,26.85,0.36,16.22,75.29,3.45,17.599999999999998,483.8
2015-07-31,32.78,22.53,27.0,0.03,18.39,74.51,3.87,17.655,483.83
2015-08-01,32.4,22.39,26.87,0.49,18.37,76.51,2.65,17.395,484.32
2015-08-02,32.39,22.41,26.93,0.4,15.87,76.17,2.53,17.4,484.71999999999997
2015-08-03,30.56,22.85,26.05,3.76,13.12,79.55,2.49,16.705,488.47999999999996
2015-08-04,27.34,23.06,24.78,60.79,3.51,89.55,2.69,15.2,549.27
2015-08-05,27.5,22.97,24.86,73.62,5.23,88.47,3.25,15.235,622.89
2015-08-06,30.17,22.64,25.68,4.32,12.81,84.19,2.76,16.405,627.21
2015-08-07,32.01,22.51,26.88,0.64,15.39,81.09,2.01,17.259999999999998,627.85
2015-08-08,31.29,23.22,26.91,2.95,18.94,83.03,2.24,17.255,630.8000000000001
2015-08-09,28.15,23.47,25.48,1.74,16.36,88.19,2.73,15.809999999999999,632.5400000000001
2015-08-10,30.46,23.21,26.66,0.17,17.61,83.07,2.36,16.835,632.71
2015-08-11,31.31,23.52,27.18,8.87,11.86,83.46,1.75,17.415,641.58
2015-08-12,28.83,24.02,25.84,11.9,11.81,87.18,2.66,16.424999999999997,653.48
2015-08-13,29.28,22.74,25.56,4.15,9.74,84.78,2.67,16.009999999999998,657.63
2015-08-14,30.16,22.76,25.88,0.7,14.84,83.46,2.24,16.46,658.33
2015-08-15,30.5,22.76,26.44,0.33,18.27,82.3,2.7,16.630000000000003,658.6600000000001
2015-08-16,31.4,23.11,26.78,1.03,20.61,81.53,2.41,17.255,659.69
2015-08-17,29.1,22.89,25.72,0.89,20.17,84.77,2.59,15.995000000000001,660.58
2015-08-18,30.88,23.28,26.79,0.43,20.1,82.08,1.89,17.08,661.01
2015-08-19,30.96,23.75,27.03,0.05,21.76,81.27,2.16,17.355,661.06
2015-08-20,32.55,22.79,26.99,0.01,22.31,78.03,2.0,17.669999999999998,661.0699999999999
2015-08-21,31.99,21.26,26.28,0.02,19.78,78.09,2.97,16.625,661.0899999999999
2015-08-22,32.36,22.22,26.57,0.0,17.5,77.14,2.88,17.29,661.0899999999999
2015-08-23,32.71,22.36,26.81,0.01,19.71,76.44,2.28,17.535,661.0999999999999
2015-08-24,31.9,22.24,26.67,0.14,20.17,77.44,2.62,17.07,661.2399999999999
2015-08-25,32.02,22.04,26.57,0.89,18.9,78.64,2.69,17.03,662.1299999999999
2015-08-26,32.03,22.56,26.8,2.79,19.37,80.01,2.42,17.295,664.9199999999998
2015-08-27,31.11,22.8,26.45,2.1,19.87,81.73,2.58,16.955,667.0199999999999
2015-08-28,30.31,23.3,26.37,3.55,12.52,83.26,3.02,16.805,670.5699999999998
2015-08-29,31.23,23.31,26.6,8.39,13.87,84.12,3.15,17.27,678.9599999999998
2015-08-30,30.87,23.66,26.51,2.39,17.99,82.72,2.45,17.265,681.3499999999998
2015-08-31,31.93,22.75,26.78,0.21,17.9,78.99,2.34,17.34,681.5599999999998
2015-09-01,31.98,22.37,26.63,0.01,20.42,76.01,2.57,17.175,681.5699999999998
2015-09-02,32.25,21.57,26.38,0.0,20.1,73.41,1.72,16.91,681.5699999999998
2015-09-03,32.46,21.28,26.48,1.28,21.11,75.21,1.17,16.87,682.8499999999998
2015-09-04,31.57,22.84,26.69,9.0,21.5,77.46,1.5,17.205,691.8499999999998
2015-09-05,33.03,22.32,27.67,1.25,22.25,75.15,1.29,17.675,693.0999999999998
2015-09-06,29.09,23.15,25.87,1.98,18.65,81.45,2.51,16.119999999999997,695.0799999999998
2015-09-07,29.99,21.55,25.52,9.4,19.64,78.67,2.61,15.77,704.4799999999998
2015-09-08,29.33,21.06,25.58,4.43,17.66,80.04,1.85,15.195,708.9099999999997
2015-09-09,31.03,22.5,26.71,2.35,14.37,77.99,2.4,16.765,711.2599999999998
2015-09-10,31.88,22.67,27.18,0.43,18.54,77.79,2.2,17.275,711.6899999999997
2015-09-11,33.75,22.42,28.16,0.4,21.38,70.9,2.11,18.085,712.0899999999997
2015-09-12,33.24,23.0,27.97,7.73,19.82,73.55,2.68,18.12,719.8199999999997
2015-09-13,32.26,23.02,26.85,0.25,20.72,77.12,3.01,17.64,720.0699999999997
2015-09-14,32.61,22.09,26.98,0.34,12.49,78.79,2.61,17.35,720.4099999999997
2015-09-15,31.52,23.62,26.92,15.23,18.43,81.85,2.12,17.57,735.6399999999998
2015-09-16,32.89,22.91,27.31,2.91,18.02,78.84,2.42,17.9,738.5499999999997
2015-09-17,31.92,23.04,26.86,20.71,12.88,80.66,3.01,17.48,759.2599999999998
2015-09-18,28.48,23.76,25.58,72.17,4.91,91.73,1.71,16.12,831.4299999999997
2015-09-19,28.26,22.72,25.32,27.4,17.41,87.51,4.34,15.490000000000002,858.8299999999997
2015-09-20,30.31,20.8,25.26,2.66,17.46,84.54,3.7,15.555,861.4899999999997
2015-09-21,30.27,21.36,25.51,1.66,20.53,83.81,3.02,15.814999999999998,863.1499999999996
2015-09-22,30.86,21.4,25.8,0.3,18.94,83.53,2.79,16.13,863.4499999999996
2015-09-23,30.51,21.93,25.66,0.44,18.51,82.01,1.29,16.22,863.8899999999996
2015-09-24,30.42,21.78,25.53,0.76,19.6,83.1,1.56,16.1,864.6499999999996
2015-09-25,30.12,20.59,24.56,0.0,19.57,82.16,2.27,15.355,864.6499999999996
2015-09-26,29.51,18.38,24.08,0.0,23.66,76.83,1.6,13.945,864.6499999999996
2015-09-27,29.95,18.85,24.75,0.0,23.15,75.09,1.86,14.399999999999999,864.6499999999996
2015-09-28,31.3,19.21,25.42,2.12,21.49,73.13,0.85,15.255000000000003,866.7699999999996
2015-09-29,32.23,21.93,26.44,0.38,21.17,74.31,2.2,17.08,867.1499999999996
2015-09-30,32.4,20.86,25.7,0.0,20.7,75.25,2.68,16.63,867.1499999999996
2015-10-01,32.29,19.02,25.72,0.15,20.14,75.87,1.3,15.655000000000001,867.2999999999996
2015-10-02,32.06,23.08,27.65,8.74,17.94,76.29,1.96,17.57,876.0399999999996
2015-10-03,30.78,23.1,26.49,2.84,19.25,84.63,1.91,16.94,878.8799999999997
2015-10-04,31.12,22.56,26.51,0.75,19.19,80.53,1.81,16.84,879.6299999999997
2015-10-05,32.71,23.39,27.51,0.04,19.59,69.52,1.53,18.05,879.6699999999996
2015-10-06,33.78,22.38,27.64,0.0,21.16,62.61,1.18,18.08,879.6699999999996
2015-10-07,34.1,20.47,27.15,0.0,20.93,61.14,1.75,17.285,879.6699999999996
2015-10-08,34.11,22.06,27.14,0.0,19.7,60.96,2.54,18.085,879.6699999999996
2015-10-09,34.82,22.19,27.68,0.0,18.64,57.27,1.61,18.505000000000003,879.6699999999996
2015-10-10,34.41,19.92,26.61,0.0,18.99,63.94,1.4,17.165,879.6699999999996
2015-10-11,34.52,21.51,27.77,0.19,18.56,65.41,0.86,18.015,879.8599999999997
2015-10-12,34.06,23.05,28.0,0.25,17.1,63.09,1.11,18.555,880.1099999999997
2015-10-13,35.23,22.88,28.18,0.0,19.63,56.94,1.05,19.055,880.1099999999997
2015-10-14,35.61,21.61,27.53,0.0,20.37,53.66,1.99,18.61,880.1099999999997
2015-10-15,34.77,19.7,26.6,0.0,20.58,58.25,2.33,17.235,880.1099999999997
2015-10-16,34.25,21.16,26.98,0.04,17.43,67.34,2.07,17.705,880.1499999999996
2015-10-17,34.54,21.69,27.17,0.0,17.36,65.65,1.27,18.115000000000002,880.1499999999996
2015-10-18,35.25,20.91,27.55,0.0,19.6,60.61,1.71,18.08,880.1499999999996
2015-10-19,35.33,20.76,27.89,0.0,18.75,54.92,1.09,18.045,880.1499999999996
2015-10-20,35.73,22.84,28.47,0.0,17.55,53.72,1.37,19.284999999999997,880.1499999999996
2015-10-21,35.56,22.26,27.81,0.0,18.56,57.76,1.13,18.910000000000004,880.1499999999996
